"","bar_code","plots","block","imb","imbt","sch_0_1","sch_0_2","sch_0_3","hpt_0_1","elc_0_1","tct_0_1","sfw_0_1","stw_0_1","sdw_0_1","smt_0_1","swc_0_1","nseed_0_1","sgr_0_1","sgr_1_1","sgr_2_1","sgr_3_1","sgr_4_1","sgr_5_1","sgr_6_1","sgr_7_1","sgr_8_1","sgr_9_1","sgr_10_1","sgr_11_1","sgr_12_1","sgr_13_1","sgr_14_1","sgr_15_1","sgr_16_1","sgr_17_1","sgr_18_1","sgr_19_1","sgr_20_1","sgr_21_1","sgr_22_1","sgr_23_1","sgr_24_1","sgr_25_1"
"1","PE2015_101_I_8",101,"I",8,"8hrs",59.25,44.25,57.45,7.57,0.448,1,5.5542,7.612,5.0422,9.21824925281768,37.0494400633755,25,NA,NA,NA,NA,10,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"2","PE2015_102_I_0",102,"I",0,"0hrs",64.4,88.35,35.8,5.18,0.0218,1,6.2992,6.2992,5.7964,7.98196596393193,7.98196596393193,25,NA,NA,NA,1,8,4,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","PE2015_103_I_12",103,"I",12,"12hrs",37.6,54.1,63.05,7.08,0.443,1,6.3822,9.1345,5.8227,8.76656952148162,43.1246278712669,25,NA,NA,NA,1,6,NA,6,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","PE2015_104_I_18",104,"I",18,"18hrs",56.3,69.4,44.35,6.88,0.662,1,6.6347,10.164,6.0373,9.00417501921714,53.1945679533362,25,NA,NA,NA,NA,3,1,2,9,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","PE2015_105_I_4",105,"I",4,"4hrs",67.65,38.65,30.7,7.6,0.48,1,6.3962,8.3674,5.8445,8.62543385134924,30.818298364654,25,NA,NA,NA,1,2,1,NA,9,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","PE2015_106_I_2",106,"I",2,"2hrs",54.85,38.15,50.05,7.91,0.32,1,6.0839,7.7208,5.577,8.33182662436923,26.9054389454133,25,NA,NA,NA,NA,3,NA,3,4,2,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"7","PE2015_107_I_6",107,"I",6,"6hrs",56.35,54.85,40.85,7.34,0.461,1,6.2899,8.3301,5.7445,8.67104405475445,32.4361277603777,25,NA,NA,2,1,6,5,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","PE2015_108_I_10",108,"I",10,"10hrs",39.15,55.65,57.95,7.23,0.503,1,6.3004,8.7487,5.7156,9.28195035235857,38.859437496032,25,NA,NA,NA,NA,10,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","PE2015_109_I_22",109,"I",22,"22hrs",73.8,60.55,56.75,6.89,0.55,1,6.3461,9.9052,5.7378,9.58541466412442,56.0832637367832,25,NA,NA,NA,NA,4,NA,5,2,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","PE2015_110_I_20",110,"I",20,"20hrs",75.65,75.8,86.25,6.8,0.61,0,6.4221,9.8024,5.8307,9.20882577350088,52.6354307780944,25,NA,NA,NA,NA,3,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","PE2015_111_I_14",111,"I",14,"14hrs",49.35,48.2,63,6.78,0.49,1,6.5348,9.7057,5.9361,9.16171879782089,48.5232906898451,25,NA,NA,NA,NA,5,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
